epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0143,2.05985,3.96315,1.88876,0.71797,0.38672,0.46923,0.19019,2.0257,2.89714,1.97414,0.000551489,0.000551489,0.000551489
2,97.8589,2.02422,3.04241,1.88073,0.42955,0.36328,0.29306,0.10261,2.09746,3.23576,2.09381,0.00109619,0.00109619,0.00109619
3,144.554,2.07848,2.66719,1.97761,0.82207,0.42969,0.51871,0.26904,2.08869,2.38663,2.25948,0.0016299,0.0016299,0.0016299
4,191.924,2.05527,2.47299,1.97426,0.77893,0.52303,0.56181,0.27692,2.02631,2.71141,2.13045,0.00161749,0.00161749,0.00161749
5,240.178,2.05751,2.39633,1.96397,0.82212,0.48438,0.5637,0.28854,1.9934,2.0834,2.11328,0.00160099,0.00160099,0.00160099
6,286.936,1.97751,2.28088,1.8977,0.82592,0.48438,0.55604,0.25722,1.81554,3.018,2.02452,0.00158448,0.00158448,0.00158448
7,333.443,1.96424,2.26748,1.88264,0.8053,0.57812,0.61856,0.3252,1.81512,2.13405,1.90488,0.00156798,0.00156798,0.00156798
8,382.563,1.8931,2.18616,1.82475,0.87256,0.53906,0.60881,0.33965,1.81858,2.12827,1.90178,0.00155148,0.00155148,0.00155148
9,429.965,1.84778,2.07064,1.76555,0.89629,0.57388,0.64289,0.36078,1.74381,1.68438,1.87589,0.00153497,0.00153497,0.00153497
10,478.393,1.82751,2.00363,1.79768,0.88594,0.58203,0.64972,0.36375,1.75753,1.744,1.8729,0.00151847,0.00151847,0.00151847
11,525.586,1.79051,1.95774,1.751,0.91279,0.59375,0.67106,0.38093,1.66893,1.57787,1.79322,0.00150197,0.00150197,0.00150197
12,571.97,1.77158,1.89464,1.7286,0.92135,0.59489,0.6806,0.39297,1.68034,1.59578,1.82666,0.00148546,0.00148546,0.00148546
13,618.172,1.75106,1.8594,1.73908,0.94682,0.62591,0.70413,0.32926,1.8792,1.54204,1.92873,0.00146896,0.00146896,0.00146896
14,664.628,1.74669,1.82105,1.71029,0.9571,0.57812,0.6637,0.3921,1.69092,1.61678,1.78809,0.00145246,0.00145246,0.00145246
15,709.865,1.71394,1.77118,1.7045,0.89071,0.6049,0.69888,0.40235,1.64677,1.41781,1.75856,0.00143595,0.00143595,0.00143595
16,756.025,1.66252,1.71498,1.65973,0.95625,0.59766,0.68537,0.40303,1.63045,1.47259,1.78484,0.00141945,0.00141945,0.00141945
17,802.121,1.68231,1.68849,1.68858,0.92208,0.62109,0.72782,0.41211,1.65867,1.51051,1.82907,0.00140295,0.00140295,0.00140295
18,849.594,1.63928,1.57763,1.64036,0.97423,0.59075,0.71662,0.40322,1.65302,1.35774,1.75794,0.00138644,0.00138644,0.00138644
19,894.611,1.63845,1.62785,1.63871,0.97252,0.60156,0.69968,0.39847,1.63346,1.39099,1.73507,0.00136994,0.00136994,0.00136994
20,940.472,1.64378,1.61679,1.63631,0.94418,0.59766,0.69219,0.37979,1.70186,1.49275,1.7779,0.00135344,0.00135344,0.00135344
21,985.99,1.63703,1.61325,1.63503,0.93832,0.61328,0.70992,0.4259,1.55741,1.47775,1.69748,0.00133693,0.00133693,0.00133693
22,1033.82,1.57385,1.49524,1.589,0.87546,0.63281,0.72458,0.42074,1.63059,1.32954,1.75235,0.00132043,0.00132043,0.00132043
