epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1383,1.02803,3.06865,1.453,0.00411,1,0.26537,0.15584,0.84372,3.64474,1.51376,0.00013336,0.00013336,0.00013336
2,96.9335,0.99121,2.59425,1.46656,0.33856,0.12069,0.23885,0.12714,0.98509,3.57508,1.60725,0.000280584,0.000280584,0.000280584
3,144.153,0.87402,2.16827,1.38096,0.00411,1,0.28544,0.15903,1.00327,3.42364,1.57373,0.000424838,0.000424838,0.000424838
4,192.15,1.05342,2.26123,1.51572,0.63733,0.15948,0.2314,0.14609,1.15485,3.51026,1.7619,0.000566122,0.000566122,0.000566122
5,239.963,1.00216,2.08381,1.444,0.46713,0.17998,0.26865,0.13668,1.31431,3.38411,2.00504,0.000704434,0.000704434,0.000704434
6,287.782,0.99063,1.99438,1.42483,0.16065,0.13143,0.14415,0.06917,1.36359,3.47488,2.10613,0.000839776,0.000839776,0.000839776
7,335.015,1.0362,2.03133,1.45558,0.19582,0.32241,0.17473,0.07066,1.88954,3.53825,2.72576,0.000972148,0.000972148,0.000972148
8,382.637,1.06112,1.98496,1.48761,0.2924,0.23966,0.2066,0.10292,1.82141,3.63276,2.89307,0.00110155,0.00110155,0.00110155
9,429.828,1.11608,2.09141,1.5227,0.25657,0.37869,0.19812,0.06061,2.01463,4.22682,3.18746,0.00122798,0.00122798,0.00122798
10,477.402,1.13127,2.11669,1.53107,0.21298,0.25517,0.14252,0.04295,2.34336,4.07556,3.51105,0.00135144,0.00135144,0.00135144
11,524.165,1.13663,2.0433,1.57471,0.22045,0.42414,0.21304,0.08045,1.95998,3.69191,2.8607,0.00147193,0.00147193,0.00147193
12,570.492,1.17315,2.04229,1.55327,0.39798,0.28017,0.21336,0.09866,1.90336,3.78858,2.86034,0.00148546,0.00148546,0.00148546
13,616.812,1.11749,1.97359,1.53578,0.33577,0.2819,0.16538,0.05437,2.1832,4.69962,3.24257,0.00146896,0.00146896,0.00146896
14,662.924,1.17118,1.85924,1.56907,0.43849,0.26293,0.26106,0.11898,1.97226,3.53129,2.77866,0.00145246,0.00145246,0.00145246
15,708.37,1.14136,1.87993,1.55333,0.44466,0.31373,0.3026,0.15472,1.66868,2.84933,2.53256,0.00143595,0.00143595,0.00143595
16,754.249,1.14185,1.79014,1.53488,0.26343,0.33362,0.25196,0.11738,1.7856,5.42987,2.49631,0.00141945,0.00141945,0.00141945
17,800.79,1.16601,1.94322,1.54679,0.41643,0.2426,0.27181,0.09329,1.955,5.83023,2.99998,0.00140295,0.00140295,0.00140295
18,847.541,1.14508,1.80192,1.52197,0.30137,0.26121,0.17944,0.05121,2.05911,5.43524,2.87859,0.00138644,0.00138644,0.00138644
19,893.982,1.06404,1.6453,1.44721,0.45801,0.41121,0.21701,0.0993,1.63867,3.89484,2.41499,0.00136994,0.00136994,0.00136994
20,940.429,1.02852,1.64267,1.47423,0.30244,0.23017,0.18759,0.08492,1.59686,4.06294,2.43098,0.00135344,0.00135344,0.00135344
21,985.85,1.09058,1.7655,1.56349,0.28611,0.34138,0.23532,0.09848,1.87929,3.75974,2.7767,0.00133693,0.00133693,0.00133693
22,1032.43,1.12342,1.74611,1.4821,0.27293,0.18681,0.19138,0.0984,2.0091,3.32518,2.82302,0.00132043,0.00132043,0.00132043
23,1076.96,1.13181,1.64778,1.52136,0.16927,0.2819,0.1466,0.06449,2.01094,3.53685,2.71881,0.00130393,0.00130393,0.00130393
24,1123.55,1.04939,1.59547,1.46507,0.38296,0.35862,0.2845,0.09326,2.17905,4.07642,2.82793,0.00128742,0.00128742,0.00128742
25,1170.24,1.04805,1.59594,1.45018,0.2313,0.4681,0.22087,0.08622,1.80025,3.31202,2.55231,0.00127092,0.00127092,0.00127092
26,1216.62,0.98155,1.51421,1.40046,0.3101,0.25281,0.23813,0.10629,1.86189,3.11318,2.96764,0.00125442,0.00125442,0.00125442
27,1263.57,1.00496,1.54543,1.41082,0.30477,0.36466,0.25708,0.1013,1.99686,3.40419,3.11569,0.00123791,0.00123791,0.00123791
28,1310.75,0.91815,1.34032,1.35933,0.36284,0.43017,0.31193,0.13413,1.87905,2.95722,2.7556,0.00122141,0.00122141,0.00122141
29,1356.69,1.01471,1.48093,1.43955,0.45299,0.3069,0.23093,0.10821,1.84283,3.24526,2.61422,0.00120491,0.00120491,0.00120491
30,1404.35,0.97954,1.42363,1.39325,0.33551,0.33253,0.22013,0.11909,1.69683,3.29343,2.45495,0.0011884,0.0011884,0.0011884
31,1450.8,1.01908,1.45011,1.45903,0.25889,0.40994,0.24304,0.13615,1.60839,3.10117,2.30084,0.0011719,0.0011719,0.0011719
32,1497.25,0.91079,1.30551,1.36677,0.45807,0.44009,0.3175,0.14864,1.53639,2.72595,2.029,0.0011554,0.0011554,0.0011554
33,1544.54,0.9237,1.32752,1.34386,0.39428,0.40069,0.29646,0.14571,1.68337,2.61378,2.13343,0.00113889,0.00113889,0.00113889
34,1591.25,1.0079,1.38183,1.4183,0.40537,0.37414,0.32893,0.146,1.73764,2.51441,2.2258,0.00112239,0.00112239,0.00112239
35,1638.34,0.9961,1.31613,1.4135,0.37211,0.3319,0.26689,0.11561,1.72477,2.68998,2.3745,0.00110589,0.00110589,0.00110589
36,1684.54,0.92316,1.313,1.35443,0.47616,0.27069,0.25045,0.1395,1.70746,2.54768,2.55606,0.00108938,0.00108938,0.00108938
37,1730.6,0.97268,1.46913,1.41495,0.81449,0.32241,0.42308,0.22534,1.54803,2.2056,2.28807,0.00107288,0.00107288,0.00107288
38,1777.16,0.96574,1.30736,1.37782,0.54543,0.34565,0.39446,0.22698,1.47407,2.26076,2.1723,0.00105638,0.00105638,0.00105638
